Жанр фильма,"Продолжительность, часы","Продолжительность, минуты",Страна производства,Год производства
Комедия,1,0,США-Германия,2005.0
Драма,2,20,Россия,
Документальный,1,42,Германия,2008.0
Комедия,2,54,США,2007.0
Документальный,2,19,Россия,2010.0
Драма,нет данных,36,США,2014.0
Документальный,1,18,Франция,2007.0
Документальный,1,32,Италия,2008.0
Комедия,1,30,Россия-Германия,2012.0
Боевик,нет данных,10,Россия,2007.0
Боевик,1,0,Россия,2012.0
Драма,2,28,Италия,2005.0
Боевик,1,26,Германия,2010.0
Драма,нет данных,41,Россия,1998.0
Триллер,нет данных,5,США,2008.0
Драма,1,29,США,2014.0
Боевик,1,39,Россия,2015.0
Боевик,1,38,Россия,2005.0
Боевик,1,20,Россия,2007.0
Боевик,нет данных,30,США,2013.0
Триллер,1,16,США,2009.0
Драма,1,48,Италия,2017.0
Триллер,2,38,Германия-Франция,2010.0
Триллер,2,47,Россия,2014.0
Документальный,1,44,Россия,2006.0
Боевик,1,25,Германия,
Триллер,1,41,Россия,2003.0
Боевик,1,27,США,2002.0
Комедия,0,30,США,2019.0
Триллер,2,10,Франция,2016.0
Триллер,1,45,Россия,2003.0
Драма,нет данных,56,США,2013.0
Драма,5,48,Россия,2010.0
Драма,1,25,Россия-Италия,2010.0
Документальный,2,18,Германия,2001.0
Боевик,1,39,США,2018.0
Триллер,1,39,Германия,2011.0
Драма,2,30,США,2012.0
Драма,нет данных,35,Россия,2010.0
Документальный,0,38,Россия,2003.0
Боевик,нет данных,24,Германия,2009.0
Триллер,1,34,Россия,2003.0
Комедия,нет данных,5,США,2009.0
Драма,1,52,Россия,2007.0
Драма,13,36,Россия,2006.0
Драма,1,34,Россия,2010.0
Драма,нет данных,39,Франция,2016.0
Документальный,1,26,Германия-Франция,2012.0
Документальный,1,40,Россия,2008.0
Боевик,0,33,Россия,
Драма,0,15,Россия,2015.0
Документальный,1,18,Россия,2017.0
Комедия,1,44,США,2009.0
Триллер,1,44,Франция,2006.0
Триллер,1,30,Россия,2008.0
Триллер,2,13,Россия,2020.0
Драма,1,48,США,2001.0
Триллер,1,5,Россия,
Триллер,2,9,Франция,2016.0
Драма,1,28,Германия,2014.0
Комедия,нет данных,26,Россия,2003.0
Комедия,1,14,Франция,2012.0
Комедия,1,55,Италия,2018.0
Документальный,1,6,США,
Комедия,2,90,США,2004.0
Драма,1,33,Россия,2008.0
Драма,нет данных,34,Италия,2004.0
Драма,2,29,Россия,2016.0
Боевик,1,20,Франция,2007.0
Боевик,3,40,Россия,2009.0
Боевик,2,53,Россия-Германия,2003.0
Триллер,1,26,Россия,2012.0
Документальный,1,0,Франция,2009.0
Триллер,нет данных,27,Германия,2007.0
Драма,9,52,Россия,2005.0
Драма,1,3,Италия,2014.0
Боевик,3,12,США,
Боевик,1,0,Россия,2005.0
Драма,0,17,Франция,2013.0
Боевик,1,0,Россия,2004.0
Триллер,1,9,Франция,2015.0
Драма,0,0,Италия,2006.0
Триллер,1,41,Россия,2001.0
Комедия,1,15,Россия-Германия,2003.0
Боевик,1,34,Россия,2005.0
Драма,2,25,Россия,2010.0
Драма,2,30,Россия,
Боевик,нет данных,50,США,2007.0
Боевик,1,32,США,2016.0
Боевик,1,55,США,2004.0
Драма,нет данных,52,США,
Боевик,1,23,Россия,2000.0
Драма,2,34,США,2007.0
Документальный,1,60,Германия,2004.0
Драма,1,58,Россия,2009.0
Драма,1,48,США,2010.0
Боевик,нет данных,35,Россия-Германия,2011.0
Драма,1,45,Россия,
Боевик,1,34,Россия,
Триллер,1,56,Россия,2002.0
Триллер,0,36,Италия,2015.0
Боевик,1,26,Россия,2001.0
Драма,0,30,Россия,2007.0
Боевик,1,39,Италия,2008.0
Комедия,нет данных,47,Россия-Франция,2011.0
Триллер,1,10,США,2020.0
Боевик,нет данных,30,Россия,2013.0
Боевик,3,33,Франция-Италия,2009.0
Боевик,1,42,Россия,2008.0
Боевик,нет данных,0,США,2008.0
Боевик,1,0,Германия,2010.0
Драма,нет данных,29,Италия,2011.0
Драма,1,5,США,
Боевик,1,58,Италия,2019.0
Боевик,6,48,Россия,2003.0
Боевик,нет данных,43,США,2012.0
Комедия,1,31,Россия,2023.0
Комедия,0,34,Россия,2008.0
Триллер,1,52,США,2013.0
Боевик,1,15,Франция,2008.0
Боевик,1,36,Россия,2005.0
Боевик,1,14,Франция,2015.0
Боевик,1,7,Россия-Франция,1997.0
Боевик,нет данных,51,Россия,2008.0
Драма,1,49,Франция,2007.0
Боевик,1,10,Россия,2004.0
Комедия,1,0,Россия,2012.0
Триллер,2,26,Россия,2016.0
Комедия,1,30,Россия,2017.0
Боевик,2,9,Германия,2003.0
Драма,2,27,Россия-Франция,2009.0
Триллер,нет данных,2,Франция,2009.0
Триллер,1,26,США,2007.0
Комедия,1,0,Италия,2009.0
Документальный,0,57,США,2007.0
Драма,1,51,США,2001.0
Боевик,1,8,Россия,2005.0
Документальный,3,27,Россия,2011.0
Боевик,1,10,США,2006.0
Драма,2,45,Россия,2010.0
Боевик,0,42,Россия,2016.0
Комедия,1,13,США,
Боевик,1,33,Франция,2007.0
Драма,1,48,Россия,2008.0
Драма,7,25,Франция,1999.0
Боевик,нет данных,1,Россия,
Драма,3,30,Россия,2000.0
Боевик,1,8,США,2007.0
Драма,1,5,Германия,2008.0
Боевик,0,18,Россия,2004.0
Триллер,2,25,США,2011.0
Драма,1,71,Франция-Италия,2012.0
Боевик,3,50,Россия,2007.0
Боевик,1,37,Россия,2010.0
Боевик,нет данных,39,Италия,2011.0
Документальный,0,28,США,2012.0
Документальный,1,2,США,2011.0
Триллер,нет данных,36,Франция,2001.0
Драма,2,54,США,2003.0
Боевик,2,44,Россия,2007.0
Драма,нет данных,40,США,2011.0
Драма,2,10,США,2005.0
Драма,3,18,Италия,2009.0
Триллер,1,51,Россия,2007.0
Триллер,1,45,США,2008.0
Триллер,1,32,США,2009.0
Драма,нет данных,31,Россия,2019.0
Драма,2,26,Германия,2008.0
Документальный,0,28,Франция,2010.0
Документальный,нет данных,8,Германия,2014.0
Драма,0,0,Германия,2013.0
Боевик,1,23,Италия,2010.0
Боевик,1,42,США,2009.0
Документальный,3,25,США,2012.0
Драма,нет данных,22,Россия,2010.0
Драма,нет данных,30,Россия,2013.0
Документальный,1,26,Германия,2003.0
Драма,1,29,Франция-Италия,2018.0
Триллер,1,18,Россия,2014.0
Триллер,1,9,Россия-Франция,2010.0
Боевик,1,12,США,2006.0
Документальный,нет данных,24,США,2002.0
Боевик,1,52,Россия,2002.0
Драма,2,30,Италия,2004.0
Драма,1,49,Россия-Германия,2013.0
Драма,1,29,США,2010.0
Документальный,2,37,Россия,2011.0
Боевик,0,11,Россия,2009.0
Боевик,1,60,Италия,
Триллер,нет данных,52,Германия-Франция,2004.0
Документальный,2,34,США,2012.0
Боевик,1,0,Италия,2007.0
Триллер,0,30,Россия,2009.0
Боевик,нет данных,41,США,
Драма,1,13,Италия,2008.0
Драма,нет данных,58,Германия,2009.0
Документальный,нет данных,57,Россия,2005.0
Триллер,1,10,США,2011.0
Драма,1,54,Германия-Франция,2010.0
Боевик,1,51,Германия,2011.0
Документальный,1,47,США,2010.0
Документальный,1,53,Россия,2020.0
Комедия,нет данных,38,США,
Документальный,1,10,Италия,2010.0
Триллер,1,45,Россия,2013.0
Триллер,1,27,Россия,2014.0
Драма,0,62,Россия,2010.0
Боевик,1,46,Германия-Франция,2000.0
Триллер,1,40,Германия,2018.0
Триллер,нет данных,6,США,2012.0
Драма,1,49,Германия,2006.0
Документальный,нет данных,39,Германия,2010.0
Драма,2,55,Германия,2007.0
Боевик,0,29,Россия,2002.0
Документальный,1,44,США,2002.0
Драма,нет данных,44,Россия,2006.0
Боевик,12,8,Россия-Италия,2018.0
Триллер,2,58,США,2006.0
Документальный,нет данных,29,Германия,2004.0
Драма,1,27,США,2008.0
Драма,1,35,Россия,2016.0
Боевик,нет данных,52,Россия,2013.0
Триллер,14,45,США,2010.0
Триллер,6,30,Россия,2011.0
Триллер,2,15,Россия,2001.0
Боевик,нет данных,19,США,2015.0
Боевик,2,27,США,2009.0
Драма,1,52,США,2004.0
Документальный,нет данных,58,США,2011.0
Комедия,2,39,США,2007.0
Боевик,3,50,Германия,2013.0
Драма,1,49,Россия,2013.0
Триллер,2,10,Россия,2015.0
Драма,нет данных,5,США,2005.0
Драма,3,53,Россия,2018.0
Драма,1,55,Россия-Франция,2006.0
Триллер,1,22,Россия,2004.0
Драма,2,7,США,
Боевик,1,33,Россия,2000.0
Документальный,3,39,Россия,2014.0
Драма,1,8,США,2010.0
Драма,0,9,Россия,2015.0
Комедия,нет данных,50,Россия,2002.0
Драма,1,16,Франция,2003.0
Триллер,1,8,Германия,2010.0
Боевик,1,28,Россия-Италия,2014.0
Драма,2,7,Россия,2009.0
Драма,2,39,Италия,2011.0
Драма,1,1,Италия,2013.0
Документальный,нет данных,5,Италия,2005.0
Боевик,1,26,Россия,
Боевик,1,30,Германия,2011.0
Триллер,1,0,Италия,
Драма,1,29,Италия,1998.0
Боевик,нет данных,34,Россия,1999.0
Драма,нет данных,27,США,2002.0
Боевик,0,30,Италия,2007.0
Комедия,0,26,Россия,2010.0
Комедия,1,35,Германия,2005.0
Боевик,1,28,Россия,2015.0
Боевик,2,20,Италия,2011.0
Боевик,1,45,Россия-Германия,2012.0
Боевик,1,59,Германия,
Драма,нет данных,50,США,2003.0
Документальный,2,57,Россия,2013.0
Драма,0,26,Россия,2010.0
Боевик,1,32,Италия,2018.0
Боевик,2,39,Россия,2010.0
Боевик,нет данных,38,Италия,2004.0
Комедия,0,18,Россия,2012.0
Боевик,2,0,США,2001.0
Драма,3,55,Италия,2007.0
Триллер,1,52,Россия,
Драма,1,6,Россия,2003.0
Боевик,1,41,США,2013.0
Документальный,11,50,Россия,2007.0
Триллер,нет данных,28,Германия,2015.0
Боевик,1,59,Россия-Италия,2013.0
Комедия,нет данных,0,Россия,2008.0
Драма,1,19,Россия,2014.0
Документальный,1,2,Германия,2013.0
Документальный,1,49,Россия,2017.0
Драма,нет данных,27,Германия,2002.0
Драма,нет данных,44,Италия,2012.0
Боевик,1,50,Россия,2008.0
Триллер,1,38,Россия,2005.0
Документальный,нет данных,26,Россия,2008.0
Боевик,1,13,Россия,
Триллер,1,33,США,2008.0
Триллер,1,34,Германия,2002.0
Комедия,2,35,Италия,2014.0
Комедия,2,38,Италия,
Боевик,2,30,Россия,2001.0
Комедия,3,24,Россия,
Драма,1,8,Россия-Франция,2020.0
Драма,1,53,Россия,2008.0
Документальный,нет данных,53,Россия,2015.0
Триллер,2,43,Германия,2009.0
Боевик,1,28,Россия,2015.0
Драма,нет данных,39,США,2015.0
Триллер,0,29,Россия,2012.0
Триллер,3,37,США,2005.0
Драма,1,56,Россия,
Триллер,2,30,Россия,2009.0
Боевик,3,44,США,2006.0
Боевик,1,8,Италия,1991.0
Триллер,1,36,Россия,2005.0
Комедия,4,55,США,2006.0
Триллер,0,45,США,2012.0
Триллер,1,55,Россия,2008.0
Боевик,нет данных,51,Германия,2006.0
Драма,1,27,США,2012.0
Триллер,1,47,Германия,2010.0
Драма,1,55,Россия,2011.0
Боевик,18,4,Россия,2006.0
Драма,1,54,Франция,2009.0
Боевик,2,10,Италия,2016.0
Боевик,1,26,США,2007.0
Триллер,1,15,Россия,2008.0
Триллер,нет данных,45,Италия,2015.0
Триллер,1,37,Россия,2013.0
Триллер,2,90,Италия,2003.0
Драма,1,40,США,2007.0
Боевик,0,52,США,2001.0
Боевик,1,44,США,2017.0
Драма,3,0,Италия,2007.0
Боевик,1,44,Россия,
Боевик,1,36,Россия,2012.0
Триллер,1,94,Россия,2021.0
Комедия,9,33,Франция-Италия,2007.0
Триллер,нет данных,40,США,2007.0
Триллер,1,29,Германия,2006.0
Драма,1,35,Франция,2005.0
Триллер,1,45,Италия,2002.0
Документальный,0,13,Россия,2005.0
Боевик,1,32,Россия-Германия,2010.0
Драма,1,25,Италия,
Боевик,0,0,Франция,2015.0
Триллер,0,37,Россия,2007.0
Драма,1,39,Россия,2013.0
Триллер,1,10,Россия,2010.0
Драма,2,33,Франция,2008.0
Драма,2,44,США,2011.0
Документальный,0,24,Германия,2018.0
Комедия,2,37,Россия,2000.0
Триллер,9,37,США,2019.0
Драма,1,33,Россия,2009.0
Триллер,17,25,США,2009.0
Драма,0,34,США,
Драма,1,50,Россия,2004.0
Драма,1,8,США,
Боевик,6,6,Россия,2016.0
Драма,1,40,Россия,2006.0
Боевик,нет данных,36,Германия,
Драма,1,40,Германия-Франция,2006.0
Боевик,2,44,Россия,2009.0
Комедия,нет данных,54,Италия,2007.0
Триллер,2,50,США,
Драма,1,20,Италия,2004.0
Триллер,2,51,Франция,2011.0
Драма,0,52,Италия,2002.0
Боевик,0,19,Франция,
Комедия,2,44,Франция,
Боевик,1,0,США-Германия,2007.0
Триллер,2,27,США-Германия,2011.0
Триллер,нет данных,23,Италия,2010.0
Боевик,1,51,США,2017.0
Драма,нет данных,17,Россия,2007.0
Комедия,8,12,Россия,2004.0
Драма,1,47,Россия,2001.0
Комедия,1,23,Россия-Германия,
Боевик,13,7,Россия,2010.0
Документальный,нет данных,23,Россия,2008.0
Триллер,1,10,Франция,2010.0
Триллер,1,50,Россия-Италия,2013.0
Драма,1,58,Россия,2007.0
Драма,нет данных,59,Германия,2009.0
Драма,1,40,Россия-Германия,2014.0
Драма,0,10,Россия,2007.0
Боевик,0,0,США,2014.0
Триллер,0,17,Германия,2010.0
Драма,нет данных,0,США,2004.0
Боевик,1,14,Италия,
Боевик,нет данных,54,США,2011.0
Триллер,3,23,Россия,1996.0
Триллер,2,8,США,2011.0
Драма,3,5,Россия,2010.0
Драма,1,0,Россия,2011.0
Триллер,1,59,Россия,2012.0
Боевик,1,13,Россия,1998.0
Документальный,нет данных,33,Германия,2009.0
Боевик,нет данных,45,Италия,
Драма,1,25,Россия,
Боевик,1,30,США,2004.0
Триллер,2,15,США,2011.0
Документальный,1,10,Германия,2013.0
Комедия,0,28,Россия,2007.0
Боевик,2,38,США,2004.0
Боевик,0,62,Россия,2008.0
Боевик,1,4,Россия,2013.0
Боевик,нет данных,0,Россия,2001.0
Драма,2,57,Россия,2007.0
Комедия,1,34,США,2008.0
Триллер,13,45,США,2012.0
Документальный,0,30,США,2014.0
Боевик,1,26,Германия,2000.0
Боевик,нет данных,30,Россия,2020.0
Боевик,8,14,Россия,2009.0
Драма,нет данных,59,США,
Драма,1,32,Россия,2009.0
Боевик,нет данных,25,США-Германия,2010.0
Триллер,1,17,Франция,2018.0
Драма,1,20,США,2017.0
Боевик,0,8,Германия,2012.0
Боевик,нет данных,19,Россия,2009.0
Драма,нет данных,6,Италия,2010.0
Триллер,нет данных,2,Россия,2014.0
Комедия,2,39,США,2012.0
Боевик,1,62,США,2008.0
Боевик,0,47,Германия-Франция,2017.0
Триллер,1,23,Германия,1998.0
Триллер,1,17,США,2015.0
Драма,2,33,Россия,
Драма,нет данных,0,Германия,2010.0
Драма,1,30,Италия,2011.0
Комедия,нет данных,59,Россия,2010.0
Комедия,нет данных,29,Россия,2006.0
Комедия,1,9,Россия,2009.0
Комедия,1,1,Германия,2006.0
Документальный,1,36,Франция,2007.0
Драма,1,30,Россия,
Боевик,1,8,США,2007.0
Боевик,0,13,Франция,2011.0
Драма,1,3,США,2005.0
Комедия,2,26,Италия,2003.0
Драма,1,45,Россия,2014.0
Боевик,1,50,Италия,2012.0
Комедия,1,49,Россия,2013.0
Боевик,1,0,США,
Драма,1,47,Россия,2008.0
Триллер,1,55,США,
Боевик,2,22,Италия,2011.0
Драма,нет данных,13,Россия,2005.0
Боевик,1,27,Россия,2009.0
Боевик,43,52,Германия-Франция,2003.0
Драма,1,42,США,2013.0
Триллер,нет данных,15,Россия,2008.0
Боевик,1,28,Франция-Италия,2003.0
Боевик,нет данных,22,Россия,
Комедия,1,22,Франция,2014.0
Триллер,2,55,Франция,2005.0
Комедия,3,21,Россия,2004.0
Драма,0,39,Россия,2013.0
Драма,нет данных,4,Россия,2015.0
Драма,0,55,США,2000.0
Боевик,1,24,Италия,
Документальный,1,26,США,2016.0
Триллер,1,35,США,2005.0
Боевик,12,40,Италия,1996.0
Боевик,1,23,Германия,2008.0
Драма,1,10,Германия,2008.0
Драма,0,5,Россия,2012.0
Боевик,2,25,Россия,2009.0
Триллер,1,9,США,2011.0
Драма,12,42,Россия,2011.0
Боевик,0,35,США,2005.0
Драма,2,5,Германия-Франция,2007.0
Триллер,1,0,Италия,2012.0
Драма,нет данных,50,Германия,2010.0
Боевик,нет данных,45,США,2010.0
Драма,10,20,США,2005.0
Драма,1,0,США,2015.0
Драма,1,30,Италия,2009.0
Боевик,1,49,США,2011.0
Боевик,2,60,Россия,2002.0
Боевик,2,32,Россия-Германия,2011.0
Триллер,2,39,Россия,2002.0
Драма,1,58,Россия,2002.0
Триллер,1,20,США,2018.0
Боевик,1,0,Франция-Италия,2011.0
Боевик,2,53,Россия,2011.0
Боевик,1,50,Россия,2013.0
Боевик,2,31,Италия,2007.0
Комедия,1,28,США,2007.0
Боевик,1,15,Италия,2000.0
Документальный,2,12,США,2014.0
Триллер,1,30,США,2010.0
Драма,1,52,Россия,2020.0
Документальный,0,20,США,2015.0
Боевик,нет данных,60,США,2009.0
Драма,нет данных,32,Италия,2011.0
Документальный,1,8,Россия,2014.0
Триллер,2,13,Россия,2015.0
Комедия,2,41,Россия,2005.0
Драма,нет данных,40,США,2002.0
Комедия,1,33,Италия,2019.0
Драма,1,44,Россия,2005.0
Боевик,3,48,Россия,
Боевик,2,0,Россия,2005.0
Триллер,0,5,Германия-Франция,2007.0
Драма,2,55,Россия,2008.0
Документальный,1,9,США,2015.0
Драма,1,45,Россия,2007.0
Триллер,0,29,США,2011.0
Документальный,1,40,Германия,1997.0
Боевик,нет данных,8,Россия,2016.0
Драма,1,15,США,2011.0
Боевик,1,27,США,2010.0
Драма,1,55,США,2006.0
Драма,2,29,Италия,2017.0
Драма,1,36,Германия,2008.0
Драма,1,40,Россия,
Боевик,0,6,Италия,2013.0
Боевик,0,30,Россия,2013.0
Документальный,1,48,Италия,2007.0
Документальный,2,33,Франция,2007.0
Боевик,1,29,Россия,2016.0
Боевик,1,45,Россия,2008.0
Триллер,нет данных,0,США,
Документальный,2,54,США,2010.0
Триллер,1,58,США,2008.0
Комедия,1,41,США,2002.0
Драма,нет данных,36,Россия,2002.0
Триллер,16,46,Италия,2004.0
Драма,10,9,Италия,2011.0
Документальный,нет данных,17,США,2008.0
Боевик,1,47,США,2004.0
Комедия,2,46,Россия,2011.0
Боевик,2,24,Франция,2020.0
Документальный,1,1,США,2018.0
Драма,1,5,Германия,2005.0
Документальный,0,30,Италия,2017.0
Комедия,0,30,Россия,2004.0
Триллер,нет данных,39,Италия,1995.0
Драма,нет данных,53,США,
Триллер,1,39,США,2008.0
Боевик,1,21,США,2002.0
Драма,1,5,Германия,2014.0
Комедия,1,55,Россия,2008.0
Драма,1,54,Россия,2011.0
Драма,1,48,Германия,2006.0
Боевик,0,14,Россия,2013.0
Драма,2,53,США,2020.0
Драма,1,32,Россия-Франция,2012.0
Драма,1,26,Россия,2014.0
Комедия,3,3,Россия,2019.0
Боевик,1,30,США,2009.0
Боевик,1,34,Россия,2015.0
Боевик,нет данных,36,Италия,
Документальный,1,26,Россия,2016.0
Боевик,1,0,Россия,2008.0
Боевик,1,23,США,2004.0
Драма,1,29,Германия,2009.0
Боевик,1,41,США,
Боевик,1,23,Франция,2002.0
Триллер,6,22,Россия,2014.0
Триллер,1,27,Россия,2007.0
Триллер,1,0,Россия,2016.0
Боевик,2,44,Италия,2013.0
Боевик,8,50,Германия,2010.0
Триллер,2,38,Россия,2014.0
Боевик,1,64,Германия,2015.0
Триллер,1,39,США,2007.0
Боевик,1,6,Италия,2011.0
Комедия,1,45,Италия,
Триллер,нет данных,41,США,2008.0
Триллер,2,29,США,2009.0
Триллер,1,32,США,2008.0
Драма,2,28,Россия,2010.0
Драма,нет данных,32,США,2009.0
Комедия,1,36,Россия,2018.0
Драма,0,0,Франция,2001.0
Драма,0,40,США,2009.0
Драма,нет данных,0,Франция,
Триллер,1,35,Германия,2013.0
Боевик,1,50,Россия,2012.0
Комедия,нет данных,26,США,2008.0
Комедия,нет данных,0,Франция,2012.0
Триллер,нет данных,30,США,2009.0
Триллер,9,0,США,2014.0
Драма,1,29,США,
Боевик,1,0,США,2003.0
Комедия,2,10,Россия,
Триллер,0,45,Россия,2012.0
Документальный,1,10,США-Германия,2006.0
Боевик,нет данных,36,Франция,2008.0
Документальный,1,33,США,1999.0
Триллер,1,37,Россия,
Драма,1,34,Италия,2012.0
Боевик,1,27,США,2011.0
Триллер,1,49,США,2006.0
Боевик,0,26,Россия,2016.0
Триллер,2,0,Россия,2009.0
Триллер,2,0,США,2021.0
Боевик,1,54,Россия,2006.0
Драма,1,28,США,2007.0
Триллер,1,55,Россия,2015.0
Боевик,0,34,Италия,2012.0
Боевик,1,46,Германия,2006.0
Боевик,4,33,США,2009.0
Комедия,0,44,Франция,2015.0
Драма,1,26,США,2007.0
Боевик,3,18,Россия,2010.0
Боевик,1,31,Россия,2015.0
Триллер,0,35,США,2012.0
Драма,0,0,Россия,2014.0
Боевик,3,20,Германия-Франция,
Драма,1,19,Россия,2006.0
Боевик,1,47,Италия,
Комедия,1,30,США,2011.0
Триллер,6,26,Россия,2018.0
Триллер,1,24,США,2013.0
Боевик,2,16,Италия,2004.0
Драма,нет данных,0,Россия,2007.0
Триллер,1,52,Россия,2001.0
Триллер,1,0,Россия,2005.0
Боевик,1,40,Италия,2004.0
Драма,3,2,Италия,2025.0
Боевик,1,33,Россия,2012.0
Драма,1,90,Россия,2002.0
Боевик,1,56,Франция,2012.0
Драма,2,42,Италия,2016.0
Триллер,1,47,Россия-Германия,
Боевик,3,14,Россия,2002.0
Боевик,нет данных,56,Россия-Франция,2016.0
Боевик,нет данных,13,Германия,2000.0
Драма,0,58,Франция,2013.0
Документальный,нет данных,52,Германия,2000.0
Триллер,3,32,Германия,2008.0
Драма,1,56,Германия,2001.0
Боевик,0,33,Италия,2002.0
Боевик,1,47,Россия,2020.0
Документальный,1,52,Россия,2010.0
Боевик,1,18,Россия-Германия,2006.0
Драма,0,53,США,2009.0
Боевик,нет данных,40,Франция,2003.0
Боевик,1,52,Россия,2009.0
Триллер,1,30,Россия,2009.0
Боевик,нет данных,55,Германия,2017.0
Драма,нет данных,50,Франция,2005.0
Триллер,1,0,США,2009.0
Триллер,0,23,Италия,1998.0
Комедия,8,23,Италия,2015.0
Боевик,1,32,США,2011.0
Боевик,нет данных,22,Россия-Италия,2002.0
Триллер,1,0,Франция,2008.0
Драма,1,46,США,2013.0
Боевик,2,59,Франция,2018.0
Драма,2,35,Россия,2011.0
Драма,нет данных,41,Россия,2007.0
Драма,3,26,Германия-Франция,2010.0
Триллер,1,57,Россия,2005.0
Документальный,2,28,Италия,2000.0
Драма,3,30,США,2000.0
Боевик,1,56,Россия,2017.0
Триллер,1,48,США,2006.0
Боевик,2,30,США,2010.0
Драма,1,52,Италия,
Драма,1,26,США-Германия,2013.0
Документальный,1,29,США,2017.0
Драма,1,39,США,2005.0
Триллер,1,27,Россия,2010.0
Драма,нет данных,14,Италия,2013.0
Комедия,20,29,Германия,2010.0
Документальный,1,57,Россия,2014.0
Боевик,0,27,Россия,1999.0
Боевик,1,57,Италия,
Боевик,1,10,Россия,2021.0
Триллер,нет данных,39,Франция,2004.0
Триллер,0,10,Франция,2006.0
Комедия,2,27,США,2015.0
Триллер,1,35,Россия,2010.0
Драма,1,48,Россия,2008.0
Боевик,нет данных,6,Франция,2009.0
Документальный,1,57,Россия-Франция,2008.0
Триллер,нет данных,49,Россия,2013.0
Боевик,нет данных,26,Россия,2009.0
Боевик,1,41,США,2007.0
Комедия,1,44,США,2006.0
Боевик,2,28,Россия-Франция,2010.0
Боевик,2,27,США,2015.0
Драма,12,34,Россия,2017.0
Драма,16,46,США,2017.0
Драма,1,51,Россия,2008.0
Драма,1,30,Россия,2008.0
Драма,0,48,США,2021.0
Боевик,нет данных,23,Россия,2003.0
Драма,1,27,Италия,2012.0
Триллер,1,0,США,2008.0
Боевик,нет данных,20,Россия,2009.0
Триллер,0,25,Германия,
Боевик,1,25,Германия,2008.0
Боевик,2,40,США,2009.0
Драма,5,39,Россия,
Драма,1,6,США,2011.0
Драма,2,19,Россия,2015.0
Триллер,1,10,США,2014.0
Боевик,2,17,США,2015.0
Боевик,1,20,США,2019.0
Триллер,1,16,США,2006.0
Драма,1,46,Россия,2008.0
Комедия,2,36,Россия,2011.0
Драма,1,35,Германия,2009.0
Драма,1,20,Италия,2016.0
Драма,1,38,Италия,2003.0
Боевик,3,53,США,2004.0
Комедия,1,4,Россия-Италия,2007.0
Драма,1,34,США,2008.0
Боевик,1,36,США-Германия,2012.0
Боевик,1,0,Франция,
Триллер,нет данных,52,Германия-Франция,2012.0
Комедия,3,0,Россия,2010.0
Комедия,нет данных,48,Италия,2015.0
Боевик,нет данных,80,Россия,2006.0
Боевик,нет данных,44,США,2018.0
Триллер,нет данных,34,Россия,
Триллер,2,32,Франция,2009.0
Боевик,1,13,Италия,2014.0
Драма,1,44,Россия,2009.0
Боевик,0,22,Россия,2004.0
Драма,1,31,Россия,2004.0
Драма,1,55,США,2013.0
Боевик,2,45,Германия,
Комедия,1,29,Россия,2011.0
Триллер,1,39,Россия,2006.0
Драма,1,53,США,2015.0
Драма,1,52,Россия,2011.0
Боевик,нет данных,56,США,2006.0
Драма,0,47,США,2020.0
Драма,1,37,Франция,2006.0
Комедия,1,43,Россия,2006.0
Триллер,1,48,США,
Драма,1,27,США,2006.0
Драма,2,40,Франция,2005.0
Боевик,2,33,Россия,2010.0
Боевик,нет данных,46,Россия,2006.0
Триллер,0,29,Франция,1994.0
Драма,2,35,Россия,2011.0
Драма,1,56,Германия,2003.0
Боевик,0,20,США,2013.0
Драма,1,11,Россия,
Боевик,0,38,Россия,2015.0
Триллер,нет данных,40,Франция,2001.0
Триллер,нет данных,89,Россия,2002.0
Триллер,10,56,Россия,2002.0
Триллер,1,27,Франция-Италия,2005.0
Драма,0,37,Россия,2006.0
Боевик,3,25,США,2004.0
Комедия,1,40,Россия,
Драма,3,10,Франция,2003.0
Боевик,2,56,США,2016.0
Комедия,1,46,США,
Драма,1,3,Германия,2000.0
Боевик,нет данных,28,Россия,2006.0
Боевик,0,15,Россия,2000.0
Боевик,нет данных,0,США,1998.0
Триллер,1,4,США,2020.0
Боевик,1,35,Италия,2017.0
Драма,10,55,Россия-Франция,2018.0
Триллер,1,35,США,2008.0
Боевик,2,0,Россия,2014.0
Боевик,10,43,Россия,2016.0
Документальный,1,39,Россия,2005.0
Документальный,0,25,Россия-Франция,2008.0
Боевик,1,45,Россия-Германия,2007.0
Боевик,нет данных,40,Россия,2008.0
Драма,1,25,Франция,2010.0
Комедия,1,30,США,2011.0
Документальный,1,3,США,2010.0
Комедия,1,55,США,2008.0
Триллер,1,39,Россия,2001.0
Триллер,1,45,США,2005.0
Триллер,1,50,США,2018.0
Документальный,1,40,Италия,2001.0
Комедия,нет данных,8,США,2009.0
Драма,нет данных,47,Россия,2013.0
Документальный,2,16,США-Германия,2003.0
Триллер,16,6,США,2000.0
Триллер,1,18,Россия-Германия,2010.0
Боевик,2,24,Россия,2017.0
Боевик,1,57,Россия,2011.0
Документальный,1,48,США,
Драма,нет данных,30,Франция,2008.0
Триллер,2,31,Германия,2005.0
Боевик,0,28,Россия-Франция,2015.0
Драма,1,40,Франция,2007.0
Боевик,1,49,Россия,2007.0
Боевик,0,41,США,2010.0
Документальный,1,45,Россия,2013.0
Триллер,1,45,Россия-Италия,2009.0
Драма,2,0,Италия,2021.0
